Requete;Triplet_1;Triplet_2;Triplet_3;Triplet_4;Estimation_1;Estimation_2;Estimation_3;Estimation_4
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website46};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website46;;;;31;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website10};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website10;;;;30;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website24};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website24;;;;32;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website43};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website43;;;;30;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website41};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website41;;;;34;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website26};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website26;;;;35;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website36};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website36;;;;32;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website14};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website14;;;;34;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website10};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website10;;;;30;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website49};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website49;;;;25;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website38};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website38;;;;34;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website29};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website29;;;;37;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website37};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website37;;;;20;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website32};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website32;;;;42;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website29};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website29;;;;37;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website49};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website49;;;;25;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website43};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website43;;;;30;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website44};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website44;;;;27;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website2};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website2;;;;31;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website30};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website30;;;;29;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website26};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website26;;;;35;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website7};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website7;;;;31;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website43};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website43;;;;30;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website1};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website1;;;;29;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website42};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website42;;;;33;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website2};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website2;;;;31;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website41};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website41;;;;34;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website12};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website12;;;;33;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website17};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website17;;;;44;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website45};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website45;;;;21;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website10};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website10;;;;30;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website41};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website41;;;;34;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website24};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website24;;;;32;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website42};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website42;;;;33;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website7};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website7;;;;31;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website49};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website49;;;;25;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website13};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website13;;;;27;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website22};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website22;;;;31;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website1};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website1;;;;29;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website3};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website3;;;;22;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website3};?v0 http://db.uwaterloo.ca/~galuc/wsdbm/subscribes http://db.uwaterloo.ca/~galuc/wsdbm/Website3;;;;22;;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country3};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country3;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;41;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country67};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country67;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country77};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country77;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country221};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country221;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country191};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country191;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country173};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country173;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;0;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country190};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country190;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country220};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country220;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country1};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country1;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;78;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country139};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country139;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country221};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country221;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country74};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country74;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country24};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country24;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;15;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country179};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country179;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country54};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country54;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;3;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country173};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country173;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;0;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country14};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country14;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;16;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country179};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country179;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country168};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country168;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country36};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country36;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country160};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country160;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country230};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country230;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country190};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country190;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country219};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country219;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country190};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country190;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country20};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country20;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;11;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country129};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country129;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country149};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country149;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;1;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country183};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country183;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;0;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country1};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country1;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;78;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country13};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country13;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;8;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country13};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country13;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;8;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country131};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country131;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;2;296;;;
Select ?v0 WHERE {?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0 . ?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country6};?v0 http://schema.org/nationality http://db.uwaterloo.ca/~galuc/wsdbm/Country6;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/likes http://db.uwaterloo.ca/~galuc/wsdbm/Product0;;;26;296;;;
